Yorum,Puan
"İlk gözlemlerim oyunlar için gayet iyi.  Pubg, Cs:go, Valorant, ETS2 gibi oyunlarda kasma yapmadan (Otomatik Yüskek ayarlarda) rahatlıkla oynanıyor. Çizim yapacaklar içinde gayet yeterli bir bilgisayar.  Ürün'ü pazar günü sipariş verdim. Dün bulunduğum bölgede ki şubeye geldi. Kargodan gittim kendim aldım. Laptop olduğu için fazla oradan oraya taşınmasını istemedim :)",5
Mükemmel Beklentimin çok üstünde,5
Free dos olması sizi kararsız birakabilir ama korkmadan alabilirsiniz windows10u yükledikten sonra çok güzel bir şekilde kullanabilirsiniz,5
Efsane günlerde aldık fiyatı epey indirimliydi saticuda hepsiburda olunca çok iyi kargolanmisti. Ürunu sadece uzaktan egitim icin kullanacagim .,5
F/P ürünü bu paraya iyi bir ürün minimal bir tasarımı var öğrenci için iyi bir bilgisayar tavsiye ederim,5
"Tam bir fiyat performans ürünü, ev ve iş kullanımı için çok ideal, ssd hd olanlar arasında bu fiyat aralığındaki en iyi pc diyebilirim.",5
Bilgisayar gayet güzel zaten freedos olduğu yazıyor. Windows 10’u yükle kullan gayet hızlı fiyat performans ürünü.,5
Hızlı ve güvenilir teslimat. Bilgisayarda güzel. Eba için aldığım için yeterli yani. Teşekkürler Hepsiburada,5
"Fiyat performans ürünü, aldığıma gayet memnun kaldım.",5
iyi fiyat,5
Hızlı korgo ve çantası hediye tavsiye ederim,5
Harika bir ürün,5
"Bilgisayarı 16 Ekimde sipariş ettim, 20 Ekimde geldi. Teslimat beklediğimden hızlı gerçekleşti. Kulaklık hediyesiyle geleceği yazılmadığı halde kulaklık hediyesiyle geldi. Paketleme gayet başarılıydı. Ürün tam bir fiyat performans ürünü. Alüminyum gövde verdiğiniz fiyata değiyor. Oyun bilgisayarları değil, günlük kullanım için herkese tavsiye ederim.",5
Ürün beklediğimden kısa sürede geldi teşekkür ederim hediyelerden haberim yoktu onun için de ayrıca teşekkür ederim,5
"Cihaz çok estetik ve ihtiyaçlarıma uygun. Hızlı, çok hafif ve tam çantaya atıp okula gitmelik.Kamera kullanacaklar tekrar düşünsün derim çünkü kamera açısı biraz garip. Online eğitim için uygun olmayabilir ama güvenlik amaçlı bir hareket olduğu için takdir ettim. Yanında gelen kulaklık da çok kullanışlı. Teşekkürler Huawei Türkiye.",5
"Aldıktan 1 gün sonra elime ulaştı. Çok güzel bir şekilde paketlenmişti ve gelen kablosuz kulaklık hediyesi ise çok nazikti. Ürüne gelirsek, tasarım olarak gerçekten çok şık, taşınması kolay ve gayet hızlı bir bilgisayar. Müzik dinlemek ve film izlemek icin hoparlör sistemi çok güzel düşünülmüş. Fandan ses gelme olayını su anlık yaşamadım. Office, programları ve meraklısın FM2020 icin gayet yeterli bir bilgisayar :) Ben herseyiyle çok beğendim. Teşekkürler Huawei!",5
Ürün gerçekten çok iyi yanında kulaklık hediye olarak geldi. Pc hoparlör kalite gayet iyi. Ayrıca performans olarak gayet yeterli,5
"Ürün 2 gün içerisinde teslim edildi, bugüne kadar pc kullanmamışım dedirtecek kadar kaliteli bir ürün, kutuyu açarken bile o lüks hissini yaşatıyor size, paketleme ve yanında gönderilen kulaklık hediyesi de müthiş. Ethernet girişi yok onun dışında hiç tereddüt etmeden alabilirsiniz.",5
Yeğenim için aldık. Malzeme kalitesi gayet iyi. Açılış süresi ve performansı harika.,5
"Arkadaşlar ürün 3-4 gün gibi kısa bir sürede geldi ve öğrenci için çok ideal bir bilgisayar. Oyun oynamam, derslerime gündelik işlerime bakarım diyorsanız gönül rahatlığıyla alabilirsiniz",5
Bilgisayarı kasımın 24 ünde sipariş etmiştim. 26 sında elime ulaştı. 2 gündür kullanıyorum gayet hoş bir bilgisayar hem görüntü olarak hem kullanım olarak. Daha çok ders amaçlı aldım birazda oyun oynamak için. Alacaklara tavsiye ederim.,5
Ürünü 24 Kasım akşamı sipariş verdim ve 26 kasımda elimdeydi. Hem kargo hem de paketleme çok başarılıydı. Yanında bluetoothlu kulaklık ve 6 aylık eğitim paketi hediyesi ile geldi. Kesinlikle tavsiye ederim 💜,5
Çok güzel paketleme yapılmış bir ürün. Ürün çok hızlı çok kaliteli çok şık bir ürün tavsiye ederim.,5
"Güzel paketleme, hızlı teslimat",5
Zamanından önce teslimat yapıldı. Ürün cok başarılı.,5
Kamera açısı sıkıntı onun dışında mükemmel derecede gündelik hayatta işinizi görür,5
"Huawei Türkiye teşekkürler Ürünü hemen gönderdiler Ürün güzel ve kullanışlı, kulaklık hediye geldi Tavsiye ederim",5
"Mükemmel paketleme, hızlı teslimat. Kulaklık hediyesi inanılmaz mutlu etti. Harika hizmet teşekkür ederim.",5
Pazar günü verdiğim sipariş salı günü geldi hayatımın en hızlı kargolarından biriydi.. Ürün güzel paketlenmiş ses bombası güzel kıyak oldu..,5
Bu fiyata bu kalitede bilgisayar yok. Teşekkürler. Fiyat Performans canavarı. Eşim artık tüm online derslerini sorunsuz veriyor.,5
"Boyut ve tasarımı gerçekten güzel, bir haftadır kullanıyorum. Ders vermek için kullanıyorum mikrofon ve kamera yeterli. bu fiyata gayet iyi performans gösteriyor.",5
F/P ürünü olarak düşünün. 240 GB SSD yeterli windows kurun ve kullanın. Pişman olmayacaksınız. Tabii oyun ve grafik uygulamaları olmamak kaydı ile....,5
Bilgisayar yeni kullanmaya başladım güzel paketleme çok güzel olmuştu kargoda hızlı teşekkürler...,5
Ürün hızlı kargolandı. Geldiğinden beri 15 gün oldu kullanıyorum. Herhangi bir sorun yaşamadım daha. Bilgisayar donanım olarak işimi görecek seviyede . Zaten onu düşünüp almıştım. Aynı donanımlara sahip marka bir bilgisayar alırsanız 6 bilemedin 7 bin lira ödersiniz . Günlük kullanımda ultra profesyonel anlamda farkli buyuk uygulamalar kullanmıyorsanız her işinizi görecek bir bilgisayardır. Ben bilgisayar öğretmeniyim ve okulla ilgili her işimi suan icin yapabiliyorum. Süre geçtikçe acaba sorun çıkarır mı yada performansı düşer mi diye düşündüm ondan bekledim yorum yapmayı ama ilk aldiğimda nasılsa öyle. Burce dostu donanımlı bilgisayar. Tecrübelerime dayanarak donanım satın almak daha iyi olur diyebilirim. Alan alacak olan herkese hayirli olsun iyi günler diliyorum.,5
